Sonar;AcX;AcY;AcZ;GyX;GyY;GyZ;Speed;
86;3860;988;21108;-14;303;1074;150;
84;1316;1612;15932;-401;1992;479;150;
83;92;1664;15532;114;312;-71;150;
93;-264;1484;16032;-343;-186;114;150;
94;132;1472;16176;4;31;0;150;
92;96;1272;16080;-90;25;31;150;
92;128;1288;16124;-22;-3;2;150;
93;136;1268;16020;0;-15;6;150;
93;80;1284;16032;-80;-28;14;150;
95;136;1284;16116;-41;-1;1;150;
95;132;1240;16112;-9;-17;-2;150;
93;156;1192;16164;-43;6;4;150;
94;120;1132;16200;-14;12;10;150;
94;168;1148;16168;-30;-13;-12;150;
107;164;1084;16172;-47;3;-9;150;
106;164;1124;16060;-43;-21;-4;150;
106;80;1080;16148;-23;-34;17;150;
115;172;1156;16292;-30;-24;-3;150;
115;84;972;16172;-27;-30;2;150;
115;148;1060;16300;12;-3;-24;150;
115;156;1028;16172;-18;-13;-4;150;
115;132;1040;16152;-14;-8;-23;150;
115;152;984;16072;-38;3;-18;150;
115;112;900;16156;-20;13;2;150;
115;176;892;16196;-3;-37;-14;150;
116;200;996;16016;-9;14;-17;150;
109;200;960;16052;13;-7;-13;150;
116;176;984;16220;-2;17;-3;150;
108;104;940;16240;-5;22;9;150;
116;140;1004;16168;10;-31;-4;150;
106;116;972;16188;-15;-21;-6;150;
115;88;912;16172;-9;-4;-30;150;
107;112;984;16180;9;-19;-9;150;
115;104;900;16276;-10;-15;-7;150;
116;200;972;16360;-29;9;-4;150;
115;96;928;16220;-4;8;-17;150;
105;140;892;16232;7;-1;-5;150;
114;136;924;16364;-9;11;26;150;
116;152;872;16140;-10;-17;-11;150;
105;80;920;16172;0;-17;3;150;
115;120;932;16044;-2;24;4;150;
116;156;828;16280;-2;-15;-12;150;
116;132;920;16072;3;-14;-13;150;
117;148;860;16312;2;-23;-31;150;
117;176;816;16236;-13;-5;1;150;
116;180;872;16200;-4;32;5;150;
116;124;944;16076;-25;-21;1;150;
117;132;868;16168;-2;-11;-16;150;
116;144;896;16180;-11;-14;-4;150;
116;140;896;16136;-11;-15;-13;150;
116;156;1000;16080;-14;-7;-19;150;
116;332;800;15972;-33;114;-74;150;
116;148;812;16256;-53;-14;-8;150;
116;-28;928;16084;-26;63;-38;150;
105;148;816;16084;0;4;1;150;
116;100;836;16380;-33;5;-19;150;
116;-64;836;15644;-101;155;-22;150;
115;224;664;16280;-93;-42;14;150;
116;216;668;16252;-168;-62;3;150;
116;220;536;16312;-74;-17;-14;150;
114;256;580;16152;7;-3;12;150;
115;160;484;16076;-16;-12;-19;150;
116;180;472;16136;3;-2;-1;150;
115;36;588;16436;-63;14;-48;150;
115;164;484;16152;-10;-5;4;150;
116;116;380;16248;-15;10;-2;150;
117;108;460;16268;-4;-10;0;150;
112;104;316;16068;-12;-4;10;150;
116;116;448;16272;4;-14;-9;150;
116;120;468;16252;5;-9;10;150;
115;88;448;16164;-6;-24;-16;150;
117;160;512;15988;-11;-25;-16;150;
116;24;356;16124;7;-6;-4;150;
117;124;432;16244;14;-25;0;150;
116;168;512;16356;0;7;-3;150;
116;80;452;16260;-13;4;-15;150;
115;116;448;16164;-17;7;-4;150;
115;64;444;16304;-14;8;-1;150;
117;200;460;16264;-5;-6;0;150;
116;36;432;16336;-7;-14;10;150;
116;80;532;16232;8;0;-2;150;
116;264;416;16284;0;4;-10;150;
117;204;420;16276;13;-6;-10;150;
116;40;440;16096;-20;11;2;150;
116;160;548;16172;0;9;4;150;
116;168;400;16220;-12;-6;-10;150;
116;192;376;16100;-5;-18;8;150;
117;152;412;16276;2;-13;-10;150;
116;168;544;16416;-16;-5;20;150;
116;148;476;16192;-3;8;-4;150;
116;196;448;16292;18;-5;4;150;
116;120;456;16184;-4;-10;-33;150;
116;100;452;16448;-3;9;-30;150;
117;56;432;16196;2;-16;-6;150;
116;132;396;16104;1;-4;-1;150;
117;156;460;15972;1;10;2;150;
116;72;508;16080;1;1;0;150;
116;96;484;16220;-4;0;6;150;
116;72;448;16296;-8;-25;-19;150;
117;188;540;16236;14;-7;8;150;
116;76;472;16228;5;-2;-10;150;
117;60;524;16032;-11;-33;-12;150;
117;212;452;16320;11;0;-16;150;
116;72;424;16256;1;-8;0;150;
116;140;456;16312;1;12;12;150;
116;176;452;16140;3;-16;-14;150;
117;160;428;16196;0;-5;-9;150;
116;96;460;16192;-18;1;-17;150;
116;136;408;16120;-28;-6;2;150;
116;188;484;16184;13;12;-22;150;
116;112;452;16124;-15;19;4;150;
117;144;480;16208;-11;-1;8;150;
116;128;464;16384;-3;5;16;150;
116;132;544;16244;2;-12;-12;150;
117;96;432;16252;0;-21;-19;150;
116;120;432;16148;0;12;-7;150;
116;104;360;16120;-10;-4;-4;150;
116;140;376;16292;2;-10;-7;150;
116;120;448;16192;-11;2;1;150;
117;188;468;16132;-8;6;-3;150;
116;184;396;16192;0;-22;-5;150;
115;168;364;16328;6;-7;10;150;
116;44;448;16316;7;15;13;150;
116;96;336;16272;6;-20;-12;150;
117;108;308;16276;-18;18;-27;150;
116;184;452;16296;23;-26;-20;150;
116;128;388;16196;1;6;4;150;
116;104;420;16008;2;-17;-8;150;
116;188;488;16204;-18;-9;-4;150;
116;148;392;16092;-3;-35;-8;150;
116;112;464;16092;0;-36;-2;150;
116;176;400;16172;6;-20;8;150;
116;188;436;16360;21;2;7;150;
117;108;388;16200;-7;-3;2;150;
116;248;456;16256;5;-16;-17;150;
116;128;464;16244;0;6;2;150;
116;164;544;16264;-15;-2;-9;150;
117;196;520;16160;25;-7;-23;150;
116;76;472;16276;-5;-15;-16;150;
117;136;500;16256;10;-27;0;150;
115;204;484;16024;-5;10;-1;150;
103;108;512;16208;3;-2;3;150;
102;28;460;16052;-7;-16;-11;150;
116;184;408;16176;3;-8;-10;150;
104;176;416;16200;-15;-6;-12;150;
115;140;392;16100;0;18;-16;150;
116;84;404;16104;16;-4;-29;150;
107;76;372;16244;0;-4;-3;150;
116;240;376;16020;-11;-19;-8;150;
116;80;396;16048;6;4;-21;150;
104;180;420;16216;6;9;1;150;
117;140;448;16164;7;-1;-4;150;
108;64;340;16176;-19;-11;17;150;
116;108;428;16280;-13;17;-6;150;
103;80;492;16164;17;-19;-9;150;
107;84;448;16172;-7;0;-15;150;
117;56;472;16196;14;-18;-20;150;
116;92;456;16256;10;5;24;150;
103;84;388;16228;-2;18;-5;150;
102;164;452;16188;6;11;-25;150;
105;172;420;16208;-4;1;-9;150;
117;88;476;16216;-16;-17;-3;150;
104;148;516;16164;7;0;-18;150;
116;188;448;16048;-27;2;4;150;
117;196;456;16268;1;-5;8;150;
116;208;472;16304;-4;-5;10;150;
117;96;380;16248;-19;3;-9;150;
106;140;356;16244;-20;-5;0;150;
116;148;440;16052;-1;-3;11;150;
