Sonar;AcX;AcY;AcZ;GyX;GyY;GyZ
116;176;400;16172;6;-20;8;
116;188;436;16360;21;2;7;
117;108;388;16200;-7;-3;2;
116;248;456;16256;5;-16;-17;
116;128;464;16244;0;6;2;
116;164;544;16264;-15;-2;-9;
117;196;520;16160;25;-7;-23;
116;76;472;16276;-5;-15;-16;
117;136;500;16256;10;-27;0;
115;204;484;16024;-5;10;-1;
103;108;512;16208;3;-2;3;
102;28;460;16052;-7;-16;-11;
116;184;408;16176;3;-8;-10;
104;176;416;16200;-15;-6;-12;
115;140;392;16100;0;18;-16;
116;84;404;16104;16;-4;-29;
107;76;372;16244;0;-4;-3;
116;240;376;16020;-11;-19;-8;
116;80;396;16048;6;4;-21;
104;180;420;16216;6;9;1;
117;140;448;16164;7;-1;-4;
108;64;340;16176;-19;-11;17;
116;108;428;16280;-13;17;-6;
103;80;492;16164;17;-19;-9;
107;84;448;16172;-7;0;-15;
117;56;472;16196;14;-18;-20;
116;92;456;16256;10;5;24;
103;84;388;16228;-2;18;-5;
102;164;452;16188;6;11;-25;
105;172;420;16208;-4;1;-9;
117;88;476;16216;-16;-17;-3;
104;148;516;16164;7;0;-18;
116;188;448;16048;-27;2;4;
117;196;456;16268;1;-5;8;
116;208;472;16304;-4;-5;10;
117;96;380;16248;-19;3;-9;
106;140;356;16244;-20;-5;0;
116;148;440;16052;-1;-3;11;
