,angle_x,angle_y,angle_z,seconds
0,0.0,0.0,0.0,0.66
1,3.141592653589793,0.0,0.0,0.71
2,0.0,0.0,0.0,0.66
3,0.0,0.0,0.0,0.66
4,0.0,3.141592653589793,0.0,0.71
5,3.141592653589793,0.0,0.0,0.66
6,0.0,0.0,0.0,0.66
7,3.141592653589793,3.141592653589793,0.0,0.71
8,3.141592653589793,0.0,0.0,0.66
9,3.141592653589793,0.0,0.0,0.71
10,3.141592653589793,3.141592653589793,0.0,0.71
11,0.0,0.0,0.0,0.66
12,0.0,3.141592653589793,0.0,0.66
13,3.141592653589793,0.0,0.0,0.71
14,3.141592653589793,0.0,0.0,0.66
15,3.141592653589793,3.141592653589793,0.0,0.66
16,0.0,0.0,0.0,0.71
17,0.0,0.0,0.0,0.66
18,0.0,3.141592653589793,0.0,0.66
19,3.141592653589793,3.141592653589793,0.0,0.66
20,0.0,0.0,0.0,0.71
21,3.141592653589793,0.0,0.0,0.66
22,0.0,3.141592653589793,0.0,0.71
23,3.141592653589793,3.141592653589793,0.0,0.66
24,3.141592653589793,0.0,0.0,0.71
25,3.141592653589793,0.0,0.0,0.22
26,0.0,0.0,0.0,0.16
27,0.0,3.141592653589793,0.0,16.4
28,3.141592653589793,3.141592653589793,0.0,6.23
29,0.0,3.141592653589793,0.0,0.66
30,3.141592653589793,3.141592653589793,0.0,0.71
31,3.141592653589793,3.141592653589793,0.0,0.71
32,0.0,3.141592653589793,0.0,0.71
33,0.0,3.141592653589793,0.0,0.71
34,3.141592653589793,0.0,0.0,0.71
35,3.141592653589793,0.0,0.0,0.77
36,3.141592653589793,3.141592653589793,0.0,0.71
37,0.0,0.0,0.0,0.71
38,0.0,0.0,0.0,4.76
39,3.141592653589793,0.0,0.0,4.32
40,3.141592653589793,0.0,0.0,4.59
41,3.141592653589793,0.0,0.0,4.48
42,3.141592653589793,3.141592653589793,0.0,6.18
43,0.0,3.141592653589793,0.0,6.29
44,0.0,3.141592653589793,0.0,16.4
